date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,pct_plant,pct_dairy,pct_animal,pct_other,pct_upf,pct_kcal_protein,pct_kcal_carb,pct_kcal_fat,mono_g,poly_g,trans_g,fat_split_mis,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-07-18,2344,90.3,371.1,109.0,61.1,71.0,17.3,558,3904,2357,68.7,93.3,11,11,125,481,-110,52.4,2344,0,7,75.9,0.0,24.1,0.0,24.1,14.5,59.7,25.7,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,1101,62.9,174.1,27.4,39.3,19.8,4.0,294,3126,2164,43.5,77.5,12,21,79,383,-209,73.0,1101,0,12,90.6,6.8,2.6,0.0,0.0,22.3,61.9,15.8,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,157,8.9,30.7,16.3,9.7,3.6,0.9,60,303,95,2.6,11.2,4,21,137,507,-476,73.0,157,0,3,100.0,0.0,0.0,0.0,0.0,18.7,64.2,17.1,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,1016,46.5,169.7,26.6,44.4,19.1,2.8,279,3256,2199,80.0,71.5,11,26,107,443,-273,66.3,1016,0,9,100.0,0.0,0.0,0.0,44.5,17.9,65.5,16.6,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,2328,130.0,268.2,79.2,36.6,84.6,33.8,659,3360,724,55.9,91.4,8,27,124,479,-211,74.8,1550,778,14,73.0,6.7,20.3,0.0,27.7,22.1,45.6,32.3,22.88,6.71,1.61,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-07-25,2056,125.5,299.2,74.5,71.3,45.1,10.7,560,4573,1451,81.1,99.3,14,31,58,338,-39,87.2,164,1892,19,77.6,11.1,11.4,0.0,6.9,23.9,56.9,19.3,19.85,7.8,0.11,0,0.67,1.0,3.0,1.0,0.0,0.0,1.33,0.0
2024-07-26,2634,142.9,395.8,104.3,91.5,61.6,17.2,812,5423,1793,73.5,99.5,14,29,80,385,11,85.6,0,2634,21,84.5,6.6,8.9,0.0,14.8,21.1,58.4,20.5,26.06,11.07,0.22,0,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-07-27,3532,178.7,550.4,195.3,75.2,76.0,27.1,903,5230,5537,81.1,100.0,12,34,326,855,-305,86.0,1184,2348,17,91.8,4.4,3.8,0.0,25.2,19.9,61.2,19.0,23.6,18.37,0.41,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-07-28,1487,79.1,267.1,67.5,31.2,13.7,2.8,392,1610,1550,25.8,77.1,6,35,171,580,-312,88.4,415,1073,8,92.1,7.9,0.0,0.0,24.3,21.0,70.9,8.2,4.14,3.86,0.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,2389,124.2,365.6,119.0,80.3,55.1,12.3,633,5145,1685,84.4,98.9,15,38,67,357,8,95.2,323,2066,18,84.6,5.7,9.8,0.0,9.0,20.2,59.6,20.2,20.79,8.7,0.12,0,0.67,1.0,3.0,0.0,0.0,0.0,1.33,0.0
2024-07-30,2672,166.0,404.8,98.7,84.8,53.0,17.8,800,6423,5366,86.6,100.0,19,38,39,297,107,93.9,2672,0,18,76.1,1.7,20.7,1.4,20.2,24.1,58.6,17.3,11.53,11.21,0.19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,1540,118.2,185.6,43.5,28.7,40.3,13.7,394,3433,462,63.6,91.2,18,42,7,229,-43,97.5,1247,293,18,62.2,7.7,26.4,3.8,8.2,30.0,47.0,23.0,12.62,1.68,1.39,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-08-01,2260,124.1,318.6,77.0,39.5,57.9,19.1,462,3477,4665,72.5,99.9,9,42,85,396,-77,90.5,908,1352,16,84.9,8.3,4.7,2.1,31.8,21.7,55.6,22.7,16.13,15.09,0.69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,2668,154.7,340.0,77.4,51.8,84.4,24.3,682,4214,4329,76.1,100.0,10,41,64,351,-11,95.2,909,1759,19,77.8,9.5,12.7,0.0,15.8,22.6,49.7,27.7,32.61,16.69,0.62,0,0.67,0.0,3.0,1.0,0.0,1.0,0.0,0.0
2024-08-03,1520,69.5,227.6,39.3,26.6,41.3,11.0,385,2030,1940,28.0,76.4,7,39,8,231,-3,95.2,783,737,11,89.7,10.3,0.0,0.0,16.1,17.8,58.4,23.8,12.98,11.13,0.26,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-04,2310,116.1,388.9,97.1,77.4,39.3,11.3,698,4695,1919,64.7,95.6,13,38,91,408,-20,94.9,435,1875,19,92.5,7.5,0.0,0.0,16.9,19.6,65.5,14.9,12.6,10.09,0.27,0,0.0,1.0,0.0,1.0,0.0,1.0,1.33,0.0
2024-08-05,2661,133.1,430.5,123.2,77.2,52.1,15.0,802,7103,2047,84.5,100.0,13,40,134,500,-70,95.6,1441,1221,20,85.3,5.9,8.8,0.0,14.7,19.5,63.2,17.2,16.47,12.34,0.16,0,0.0,0.0,3.0,1.0,1.0,1.0,1.25,0.0
2024-08-06,3252,146.1,388.3,138.3,45.4,127.9,45.3,564,3816,5012,86.4,100.0,12,35,155,545,-157,93.3,1997,1255,20,79.4,10.1,10.5,0.0,22.5,17.8,47.2,35.0,42.78,19.3,1.23,0,0.67,0.0,3.0,1.0,0.0,0.0,0.0,0.0
2024-08-07,2360,144.0,335.2,71.3,89.7,80.2,16.2,631,3983,2009,79.1,100.0,15,38,42,304,32,97.0,2360,0,15,66.9,0.0,30.2,2.9,2.9,21.8,50.8,27.4,33.11,15.5,0.03,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,2085,73.1,371.7,104.3,62.4,42.3,17.5,662,6380,1069,65.9,92.9,12,38,76,376,-5,89.4,941,1144,15,95.4,4.6,0.0,0.0,28.1,13.5,68.8,17.6,13.1,7.37,0.5,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2024-08-09,3472,151.9,563.9,186.5,91.0,74.3,28.1,1137,4999,2657,65.4,100.0,7,37,596,855,-292,89.6,832,2639,17,91.2,6.6,0.0,2.2,27.4,17.2,63.9,18.9,23.12,15.2,0.97,0,0.0,0.0,0.0,1.0,0.0,4.49,0.0,0.0
2024-08-10,3234,157.8,529.4,139.8,96.4,58.1,13.8,891,5563,2923,78.2,100.0,14,37,496,855,-326,89.3,1022,2211,17,95.8,4.2,0.0,0.0,28.7,19.3,64.7,16.0,15.36,23.56,0.25,0,0.0,1.0,0.0,0.0,0.0,1.6,1.33,0.0
2024-08-11,1632,74.5,267.6,73.0,50.8,29.7,12.6,327,3016,1142,68.7,88.1,9,38,44,308,-40,88.7,766,866,12,87.1,8.3,0.0,4.6,30.7,18.2,65.4,16.3,9.44,4.6,0.48,0,0.0,1.0,0.0,0.0,0.0,0.0,1.33,0.0
2024-08-12,2701,154.0,460.2,147.2,76.6,33.8,9.8,783,6157,2293,75.9,98.7,12,37,229,704,-243,92.7,1194,1507,17,94.2,5.8,0.0,0.0,17.2,22.3,66.7,11.0,10.04,8.47,0.17,0,0.0,0.0,0.0,2.0,1.25,1.0,1.5,0.0
