date,Faecalibacterium,Bacteroides,Prevotella,Bifidobacterium,Roseburia,Blautia,Ruminococcus,Eubacterium,Akkermansia,Lactobacillus,Altri,drv_fiber,drv_plants,drv_ferment,drv_upf,drv_animal
2024-10-23,17.29,5.92,16.39,7.24,9.95,8.26,8.55,7.95,3.78,1.18,13.49,1.0,0.592,0.288,0.367,0.162
2024-10-24,17.24,5.95,16.34,7.3,9.93,8.26,8.55,7.94,3.76,1.2,13.51,1.0,0.59,0.301,0.371,0.166
2024-10-25,17.43,5.83,16.3,7.37,9.97,8.19,8.5,7.96,3.82,1.21,13.42,1.0,0.588,0.299,0.34,0.159
2024-10-26,17.4,5.87,16.21,7.44,9.96,8.2,8.49,7.96,3.81,1.23,13.43,1.0,0.586,0.313,0.342,0.164
2024-10-27,17.39,5.85,16.25,7.44,9.96,8.19,8.49,7.95,3.8,1.23,13.44,1.0,0.583,0.313,0.343,0.161
2024-10-28,17.63,5.76,16.09,7.53,10.01,8.12,8.43,7.98,3.87,1.23,13.35,1.0,0.581,0.311,0.305,0.162
2024-10-29,17.63,5.77,16.05,7.57,10.01,8.12,8.42,7.98,3.86,1.24,13.35,1.0,0.579,0.317,0.304,0.164
2024-10-30,17.58,5.8,15.99,7.63,9.99,8.13,8.42,7.97,3.85,1.26,13.36,1.0,0.577,0.33,0.308,0.167
2024-10-31,17.58,5.8,16.01,7.61,10.0,8.13,8.43,7.98,3.85,1.25,13.38,1.0,0.574,0.324,0.309,0.165
2024-11-01,17.4,5.86,16.18,7.46,9.97,8.17,8.49,7.97,3.8,1.23,13.48,1.0,0.573,0.308,0.336,0.161
2024-11-02,17.4,5.86,16.19,7.46,9.97,8.18,8.49,7.97,3.8,1.22,13.48,1.0,0.574,0.308,0.338,0.161
2024-11-03,17.24,5.91,16.38,7.3,9.94,8.23,8.55,7.95,3.75,1.2,13.55,1.0,0.578,0.291,0.365,0.156
2024-11-04,17.25,5.91,16.37,7.32,9.94,8.23,8.54,7.95,3.76,1.2,13.53,1.0,0.582,0.297,0.365,0.158
2024-11-05,17.3,5.88,16.44,7.25,9.95,8.23,8.54,7.95,3.78,1.18,13.5,1.0,0.587,0.284,0.361,0.155
2024-11-06,17.3,5.87,16.49,7.21,9.95,8.23,8.55,7.95,3.78,1.17,13.5,1.0,0.589,0.278,0.363,0.153
2024-11-07,17.1,5.95,16.62,7.12,9.91,8.29,8.6,7.93,3.72,1.16,13.59,1.0,0.589,0.275,0.395,0.151
2024-11-08,17.09,5.95,16.62,7.12,9.91,8.29,8.61,7.93,3.72,1.16,13.6,1.0,0.589,0.276,0.396,0.151
2024-11-09,16.92,6.01,16.8,6.98,9.88,8.34,8.66,7.92,3.67,1.14,13.69,1.0,0.589,0.259,0.424,0.147
2024-11-10,16.91,6.01,16.8,6.98,9.88,8.34,8.67,7.92,3.67,1.14,13.69,1.0,0.589,0.259,0.425,0.147
2024-11-11,16.94,5.99,16.84,6.92,9.89,8.33,8.67,7.93,3.68,1.12,13.69,1.0,0.589,0.246,0.421,0.143
2024-11-12,16.94,6.0,16.81,6.95,9.89,8.33,8.66,7.92,3.68,1.13,13.68,1.0,0.589,0.251,0.421,0.145
2024-11-13,16.74,6.08,16.94,6.86,9.84,8.39,8.72,7.9,3.62,1.12,13.78,1.0,0.589,0.249,0.452,0.144
2024-11-14,16.73,6.07,16.98,6.83,9.84,8.39,8.73,7.9,3.62,1.11,13.79,1.0,0.589,0.243,0.454,0.142
2024-11-15,16.56,6.13,17.15,6.7,9.81,8.43,8.78,7.89,3.57,1.09,13.87,1.0,0.589,0.226,0.482,0.137
