date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-10-07,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,69,361,-85,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-08,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,89,404,-128,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-09,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,93,413,-327,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-10,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,78,381,-295,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-11,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,156,548,-462,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-12,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,333,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-13,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,142,518,-432,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-14,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,71,366,-89,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-15,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,108,445,-168,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-16,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,64,351,-265,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-17,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,70,364,-278,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-18,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,117,464,-379,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-19,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,236,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-20,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,126,483,-398,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-21,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,56,334,-57,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-22,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,93,413,-136,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-23,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,64,351,-265,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-24,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,69,361,-276,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-25,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,85,396,-310,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-26,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,159,554,-468,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-27,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,227,699,-614,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-28,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,73,370,-93,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-29,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,50,321,-44,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-30,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,76,376,-291,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-31,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,125,481,-396,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-01,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,74,372,-287,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-02,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,402,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-03,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,102,432,-347,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-04,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,92,411,-134,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-05,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,149,533,-256,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-06,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,79,383,-297,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-07,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,57,336,-250,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-08,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,115,460,-374,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-09,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,449,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-10,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,281,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-11,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,72,368,-91,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-12,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,67,357,-81,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-13,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,81,387,-302,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-14,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,92,411,-325,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-15,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,175,588,-503,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-16,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,174,586,-501,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
