date,name,type,moving_time_s,elapsed_time_s,distance_m,elevation_m,calories,training_load,intensity,avg_hr,max_hr,avg_power_w,np_w
2018-09-19,Poieto in a rush,Run,4344,5987,9132.5205,917.0,,,,,,,
2018-09-26,Coppi's Karma 2 (omg the %!),Ride,4505,5454,25532.295,752.0001,,,,,,,
2018-10-10,Local pains,Ride,4004,4077,17950.326,738.5,,,,,,,
2018-10-23,Alpini - Cedrello - Lonno - Direttissima,Ride,6733,6734,39451.723,960.6001,,,,,,,
2018-10-27,Muretti Madness 2018,Ride,22481,24927,116415.0,2471.9001,,,,,,,
2018-11-06,"Slow in the flat, fast in the steep",Run,2698,2750,5595.3135,330.0,,,,,,,
2018-11-20,Coldre' in 29,Run,3925,3971,7484.4155,505.0,,,,,,,
2019-01-15,To the gate,Run,1191,1280,4032.4983,103.0,,,,,,,
2019-01-20,Gazza madness,Run,1881,1883,4308.963,308.0,,,,,,,
2019-02-04,Monday Wake Up,Run,1135,1210,4277.983,98.0,,,,,,,
2019-02-20,The Cycling comeback,Ride,3921,3929,29887.785,252.10002,,,,,,,
2019-03-27,Pops,Ride,6341,8189,39573.066,605.4001,,,,,,,
2019-03-31,Zambla for Beginners,Ride,6398,9278,42385.945,1288.6001,,,,,,,
2019-04-06,Martesana Van Vlaanderen,Ride,13362,16479,87227.4,1191.4001,,,,,,,
2019-05-14,Late Roncola,Ride,6666,6787,42593.586,832.9001,,,,,,,
2019-05-25,Morning Run,Run,5880,5932,33746.67,1380.0,,,,,,,
2019-05-29,Nese in the Mountains - Ez,Ride,5751,6226,37788.992,684.2001,,,,,,,
2019-06-01,Coppa Asteria sempre porconi,Ride,18198,26011,96123.09,2328.1008,,,,,,,
2019-06-08,Afternoon Run,Run,8763,8809,43589.195,2043.0,,,,,,,
2019-06-13,After work Selvino,Ride,5509,5634,31944.412,1002.6002,,,,,,,
2019-06-13,The digestive comeback,Ride,2302,2303,22794.402,77.79999,,,,,,,
2019-06-15,The 39x25 Monte Farno,Ride,8769,9931,40103.06,1463.7002,,,,,,,
2019-06-22,The Coldre' Classic,Run,4444,4638,7350.73,506.0,,,,,,,
2019-06-23,Morning Run,Run,6211,6901,36220.34,1497.0,,,,,,,
2019-06-25,Too hot to be nice,Ride,6775,7029,42795.625,827.10016,,,,,,,
2019-07-05,Ricognizione,Ride,4838,6078,22378.455,860.1998,,,,,,,
2019-07-07,Maratona dles Dolomites 2019 (Corto <3),Ride,10093,10490,55416.94,1872.2007,,,,,,,
2019-07-11,Orezzo in a rush - To the race,Ride,3417,3683,23926.691,487.60013,,,,,,,
2019-07-12,Morning Ride,Ride,2274,2393,22422.66,35.0,486,34,72.108665,133,170,,
2019-07-16,Afternoon Ride,Ride,3481,3984,24324.22,447.0,956,106,104.178894,168,185,,
2019-07-16,Evening Ride,Ride,2484,2495,22716.28,29.0,530,38,74.091606,138,176,,
2019-07-20,Afternoon Ride,Ride,6971,7239,37536.17,998.0,1572,183,96.88803,157,185,,
2019-07-22,Evening Workout,Workout,1332,1332,,0.0,104,3,28.485435,90,120,,
2019-07-30,Afternoon Ride,Ride,3732,3915,24526.4,435.0,987,104,99.82684,165,185,,
2019-07-30,Evening Ride,Ride,2656,2659,21012.55,24.0,470,32,65.85856,134,162,,
2019-08-03,Afternoon Ride,Ride,6789,10742,48040.14,598.0,1505,150,88.452354,143,185,,
2019-08-04,Afternoon Hike,Hike,4650,6750,7873.14,636.0,1027,119,95.5126,156,185,,
2019-08-11,Morning Hike,Hike,18866,24019,20655.64,1491.0,2427,158,54.185284,119,182,,
2019-08-12,Morning Hike,Hike,10877,13792,11104.81,1018.0,1883,145,65.57853,129,185,,
2019-08-13,Morning Hike,Hike,11474,21513,11145.55,838.0,1787,85,41.43412,109,168,,
2019-08-13,Afternoon Hike,Hike,2609,2837,2935.93,3.0,486,33,64.75674,130,179,,
2019-08-14,Afternoon Run,Run,2741,5244,5264.59,278.0,447,30,61.84143,118,183,,
2019-08-24,Lunch Ride,Ride,7895,8633,49405.19,1027.0,1610,163,85.735756,151,182,,
2019-08-29,Evening Run,Run,1150,1363,3811.92,84.0,303,36,105.337036,165,185,,
2019-09-01,Morning Run,Run,1401,1529,3639.08,189.0,371,45,106.622795,164,185,,
2019-09-03,Evening Run,Run,1532,1661,5434.66,86.0,419,55,112.158,162,185,,
2019-09-10,Evening Run,Run,1872,2007,5413.33,97.0,462,47,94.02194,163,184,,
2019-09-14,Morning Run,Run,1128,1380,4152.71,126.0,286,33,102.534256,143,185,,
2019-09-16,Evening Run,Run,1308,1436,5081.42,9.0,353,48,114.63283,141,185,,
2019-09-18,Evening Run,Run,1765,1823,6012.91,12.0,451,53,103.50402,167,182,,
2019-09-19,Lunch Yoga,Yoga,2817,2817,,,152,5,25.295973,80,124,,
2019-09-22,Lunch Run,Run,1608,1797,5557.31,133.0,416,52,107.62973,162,185,,
2019-09-23,Afternoon Run,Run,1505,1749,5443.18,90.0,383,46,103.79901,156,185,,
2019-09-28,Lunch Run,Run,1802,1933,6265.96,134.0,474,59,108.387215,161,185,,
2019-09-29,Afternoon Run,Run,2193,2297,7175.22,223.0,575,71,107.37362,154,185,,
2019-10-01,Evening Run,Run,2031,2231,7019.65,23.0,486,55,98.542595,159,182,,
2019-10-03,Lunch Swim,Swim,1327,2009,1000.0,,263,27,69.57469,,,,
2019-10-07,Evening Run,Run,1920,1962,6011.15,13.0,451,40,85.73616,154,164,,
2019-10-12,Afternoon Run,Run,3351,3568,10699.31,379.0,824,98,102.576416,167,185,,
2019-10-12,Afternoon Ride,Ride,2828,2829,16294.78,495.0,676,80,100.91519,164,185,,
2019-10-15,Evening Run,Run,1679,1799,6209.22,13.0,417,50,102.83868,161,185,,
2019-10-16,Night Run,Run,2483,4829,8765.28,121.0,617,76,104.63451,136,185,,
2019-10-20,Afternoon Run,Run,1872,2306,6263.5,182.0,448,48,96.05124,148,185,,
2019-10-23,Night Run,Run,2463,5341,9154.39,131.0,628,83,109.47858,134,185,,
2019-10-25,Afternoon Run,Run,6283,7817,21011.67,160.0,1548,178,99.71254,169,185,,
2019-10-26,Lunch Ride,Ride,2548,2609,22489.63,33.0,425,29,63.2698,127,161,,
2019-10-30,Night Run,Run,2824,6099,10033.57,137.0,665,81,100.81577,151,185,,
2019-11-01,Lunch Ride,Ride,5999,6680,46509.0,588.0,1289,122,85.3439,150,179,,
2019-11-01,Afternoon Run,Run,3523,5734,10052.95,395.0,845,93,95.682,162,178,,
2019-11-04,Evening Run,Run,2830,3392,10083.3,36.0,692,84,100.905,164,185,,
2019-11-05,Evening Run,Run,1817,2343,7020.4,10.0,469,58,103.266365,160,185,,
2019-11-09,Afternoon Run,Run,614,694,2122.36,0.0,127,9,71.7707,142,155,,
2019-11-09,Afternoon Run,Run,1335,1479,3907.76,291.0,391,49,109.65646,172,185,,
2019-11-10,Afternoon Hike,Hike,4095,5668,8007.02,666.0,918,98,92.79644,158,185,,
2019-11-13,Night Run,Run,2218,4951,7628.73,132.0,469,35,73.22365,145,185,,
2019-11-16,Lunch Swim,Swim,1712,2308,1350.0,,380,40,79.00552,,,,
2019-11-17,Lunch NordicSki,NordicSki,2156,2604,2891.41,398.0,236,13,46.56903,104,153,,
2019-11-18,Evening Run,Run,3463,3983,13008.26,26.0,907,102,98.980934,171,185,,
2019-11-21,Evening Run,Run,2796,2924,8737.26,132.0,583,50,79.13942,149,169,,
2019-11-24,Morning Run,Run,5966,5975,21103.34,23.0,1698,166,100.01674,179,185,,
2019-11-27,Night Run,Run,4139,12031,14808.43,207.0,841,77,79.93774,141,185,,
2019-11-30,Lunch AlpineSki,AlpineSki,252,334,3741.55,0.0,29,1,,106,114,,
2019-12-02,Evening Run,Run,2550,3672,7194.91,120.0,528,51,81.048584,147,185,,
2019-12-04,Lunch Swim,Swim,1890,1931,1375.0,,394,35,80.79912,,,,
2019-12-04,Night Run,Run,2994,3022,9307.17,141.0,704,73,93.269,160,183,,
2019-12-06,Lunch Swim,Swim,1883,1888,1500.0,,436,46,93.67943,,,,
2019-12-06,Evening Swim,Swim,1923,2142,1500.0,,439,44,86.01402,,,,
2019-12-07,Morning VirtualRide,VirtualRide,3804,4156,,,817,64,79.06123,143,173,,
2019-12-08,Afternoon AlpineSki,AlpineSki,174,203,2807.45,0.0,11,0,,84,92,,
2019-12-09,Night VirtualRide,VirtualRide,3906,3978,,,724,55,71.81638,139,160,,
2019-12-11,Night Run,Run,2074,7376,7358.95,78.0,452,45,85.77265,143,185,,
2019-12-12,Lunch Swim,Swim,2749,2758,2125.0,,594,61,89.247856,,,,
2019-12-13,Afternoon VirtualRide,VirtualRide,3374,3374,,,787,70,86.4483,149,182,,
2019-12-14,Morning Ride,Ride,5373,5795,42683.9,560.0,1090,101,81.95073,143,181,,
2019-12-14,Night Run,Run,3750,4150,13350.23,16.0,914,87,91.146545,159,176,,
2019-12-17,Lunch Swim,Swim,2860,2870,2175.0,,575,60,86.7684,,,,
2019-12-18,Evening VirtualRide,VirtualRide,3213,3215,,,753,63,84.558044,146,176,,
2019-12-18,Evening Run,Run,1094,1208,4065.42,26.0,293,32,101.46381,167,179,,
2019-12-19,Lunch Swim,Swim,1284,2205,1050.0,,275,34,74.52207,,,,
2019-12-21,Lunch Swim,Swim,2986,3111,2400.0,,664,74,92.55224,,,,
2019-12-22,Morning Run,Run,1097,1190,3667.55,94.0,255,20,81.014534,149,170,,
2019-12-24,Morning Ride,Ride,7409,9478,57012.1,642.0,1270,107,71.47554,132,182,,
2019-12-25,Morning Hike,Hike,2743,3236,4053.11,665.0,684,74,98.06798,163,183,,
2019-12-26,Morning Ride,Ride,8323,8647,70751.36,536.0,1712,156,82.00084,148,182,,
2019-12-26,Evening NordicSki,NordicSki,2430,2476,2097.17,434.0,509,37,73.3757,141,168,,
2019-12-27,Morning NordicSki,NordicSki,6490,8277,7825.5,850.0,1041,83,67.59296,131,164,,
2019-12-28,Morning Swim,Swim,2455,3982,2025.0,,509,66,77.2551,,,,
2019-12-29,Afternoon AlpineSki,AlpineSki,186,187,2960.93,0.0,16,1,,94,102,,
2019-12-29,Afternoon AlpineSki,AlpineSki,360,439,5719.22,0.0,52,2,,115,127,,
2019-12-30,Lunch AlpineSki,AlpineSki,151,159,2481.53,0.0,13,0,,93,100,,
2019-12-30,Lunch AlpineSki,AlpineSki,121,122,1846.14,0.0,13,1,,103,112,,
2019-12-31,Afternoon VirtualRide,VirtualRide,3598,3604,36634.85,,882,83,91.129654,157,181,,
2020-01-02,Evening Ride,Ride,3920,3933,40021.88,1.0,878,78,84.51758,151,172,,
2020-01-03,Lunch Swim,Swim,2207,2846,1750.0,,445,53,81.89324,,,,
2020-01-04,Afternoon OpenWaterSwim,OpenWaterSwim,1928,2578,,0.0,0,0,,70,70,,
2020-01-04,Transition,Transition,100,273,223.81,0.0,10,1,,89,102,,
2020-01-04,Afternoon Ride,Ride,4419,4442,40185.37,207.0,991,86,83.504326,151,172,,
2020-01-04,Transition,Transition,110,110,62.09,4.0,3,2,,147,169,,
2020-01-04,Afternoon Run,Run,2945,3207,10009.2,121.0,653,74,94.74039,161,178,,
2020-01-06,Morning NordicSki,NordicSki,5579,13496,7006.65,846.0,866,63,62.95752,125,170,,
2020-01-07,Morning Ride,Ride,3302,3303,31981.64,4.0,759,67,85.46732,153,168,,
2020-01-08,Evening Run,Run,2294,3116,8412.46,37.0,511,41,76.80678,146,172,,
2020-01-10,Lunch Swim,Swim,2125,2978,1775.0,,445,59,84.46715,,,,
2020-01-11,Lunch Ride,Ride,9474,9748,81042.2,608.0,1784,158,77.34146,144,184,,
2020-01-11,Afternoon Run,Run,1422,1490,5011.81,127.0,370,37,94.644775,163,181,,
2020-01-13,Afternoon Ride,Ride,3602,3604,38038.25,5.0,880,82,90.51614,158,172,,
2020-01-14,Lunch Swim,Swim,2054,2879,1825.0,,469,69,92.903145,,,,
2020-01-15,Night Run,Run,4113,10345,14668.23,249.0,932,80,83.05543,151,185,,
2020-01-16,Night NordicSki,NordicSki,2175,7293,3965.17,412.0,395,26,64.8594,125,162,,
2020-01-18,Afternoon NordicSki,NordicSki,5032,6939,7223.27,900.0,744,65,67.38727,125,179,,
2020-01-19,Afternoon Run,Run,8353,8769,25153.31,461.0,1899,190,90.11984,158,181,,
2020-01-20,Lunch Swim,Swim,2612,2686,1975.0,,488,54,85.0895,,,,
2020-01-21,Afternoon Ride,Ride,3600,3602,37506.99,5.0,850,73,85.44004,153,167,,
2020-01-22,Evening Run,Run,2135,3019,8207.0,26.0,452,39,78.52393,148,182,,
2020-01-24,Lunch Swim,Swim,2071,2809,1800.0,,457,65,91.287094,,,,
2020-01-25,Morning Run,Run,5038,5131,16143.18,373.0,1278,120,92.08095,159,179,,
2020-01-25,Lunch Ride,Ride,8723,9554,68531.88,554.0,1404,102,64.76614,132,171,,
2020-01-26,Afternoon Run,Run,2511,3450,8690.59,256.0,544,47,81.98956,147,181,,
2020-01-27,Night Ride,Ride,3610,3661,37029.55,11.0,847,68,82.34782,151,165,,
2020-01-28,Afternoon Run,Run,2433,2533,9006.79,26.0,618,58,92.60102,161,183,,
2020-01-30,Lunch Swim,Swim,2285,2293,1725.0,,369,47,85.91972,,,,
2020-01-30,Evening NordicSki,NordicSki,2661,6768,4734.38,480.0,591,44,77.15341,138,168,,
2020-02-01,Lunch NordicSki,NordicSki,6987,20273,3831.15,432.0,723,42,42.54051,99,179,,
2020-02-02,Morning Run,Run,5668,5672,20990.52,119.0,1556,158,100.17628,168,185,,
2020-02-04,Afternoon Ride,Ride,4621,4637,48167.56,3.0,1103,101,88.56053,157,170,,
2020-02-04,Evening Run,Run,2482,2507,8009.38,131.0,608,52,86.42958,155,168,,
2020-02-05,Night Run,Run,2896,7156,9825.37,185.0,595,46,75.089325,143,181,,
2020-02-06,Lunch Swim,Swim,1835,2491,1650.0,,400,64,96.19258,,,,
2020-02-06,Evening Ride,Ride,2564,2606,25042.41,10.0,569,45,78.90488,146,171,,
2020-02-08,Afternoon Run,Run,2554,3210,10011.36,77.0,610,56,87.53563,154,182,,
2020-02-08,Afternoon Run,Run,2297,2353,7006.09,46.0,556,41,80.09121,149,159,,
2020-02-09,Lunch Ride,Ride,6892,7235,42866.76,717.0,935,59,55.345886,124,146,,
2020-02-10,Lunch Swim,Swim,2442,2484,1925.0,,435,57,90.90762,,,,
2020-02-11,Evening Ride,Ride,4276,4277,44023.8,7.0,1078,92,88.00884,156,168,,
2020-02-11,Evening Run,Run,3117,3233,10010.17,191.0,802,70,88.97786,158,169,,
2020-02-12,Night Run,Run,2484,5917,9201.03,229.0,498,35,70.72471,139,183,,
2020-02-13,Evening Ride,Ride,2700,2702,27744.22,4.0,657,53,84.06347,151,174,,
2020-02-14,Lunch Swim,Swim,1921,2572,1675.0,,392,61,92.41982,,,,
2020-02-15,Morning NordicSki,NordicSki,4955,10136,5699.27,317.0,541,24,41.387512,105,143,,
2020-02-16,Morning Ride,Ride,10441,10758,68025.95,1576.0,1931,171,76.62405,143,185,,
2020-02-17,Afternoon Ride,Ride,3601,3602,33040.78,6.0,630,38,61.635582,131,149,,
2020-02-18,Evening Run,Run,3962,4346,15012.16,62.0,1025,94,90.02994,158,181,,
2020-02-20,Evening Run,Run,4701,4885,15025.57,277.0,972,76,75.990715,145,167,,
2020-02-21,Lunch Swim,Swim,3231,3298,2525.0,,550,74,89.88923,,,,
2020-02-22,Lunch Ride,Ride,8215,8572,56139.38,1025.0,1386,105,67.63995,134,172,,
2020-02-24,Evening Run,Run,3289,3428,10761.94,227.0,822,72,88.42513,156,180,,
2020-02-25,Afternoon Ride,Ride,4498,5143,46137.15,10.0,1112,93,86.27461,154,167,,
2020-02-25,Evening Run,Run,1197,1200,5014.94,33.0,339,36,104.0532,169,180,,
2020-02-25,Evening Run,Run,684,693,2470.71,19.0,189,16,91.499146,159,166,,
2020-02-26,Evening Ride,Ride,3600,3635,30597.94,8.0,608,35,59.160797,129,142,,
2020-02-27,Evening Run,Run,1662,2176,7015.17,55.0,333,22,68.43697,136,173,,
2020-02-29,Morning Ride,Ride,13432,17067,100704.33,1197.0,2367,196,71.784386,138,182,,
2020-03-01,Lunch Run,Run,6736,6875,21178.71,382.0,1731,162,92.91719,159,183,,
2020-03-03,Afternoon Run,Run,4494,4503,14004.61,255.0,961,80,79.98223,148,172,,
2020-03-04,Evening Ride,Ride,4385,4409,45015.63,7.0,1111,91,86.20871,155,165,,
2020-03-04,Evening Run,Run,1175,1184,5011.5,40.0,344,38,107.53521,172,180,,
2020-03-04,Evening Run,Run,547,558,2109.04,22.0,152,13,,160,171,,
2020-03-05,Evening Ride,Ride,3739,3740,29475.12,8.0,586,32,55.507095,124,145,,
2020-03-06,Night NordicSki,NordicSki,7242,10326,6139.37,433.0,677,31,38.020992,95,154,,
2020-03-07,Lunch Run,Run,3003,3344,11999.46,94.0,873,94,106.15428,171,185,,
2020-03-08,Morning Ride,Ride,12584,13325,74858.58,2039.0,2416,203,76.10641,141,179,,
2020-03-11,Afternoon Run,Run,3405,4171,10504.64,357.0,753,58,77.9881,144,179,,
2020-03-15,Afternoon Run,Run,2581,2759,8487.67,303.0,657,59,90.279686,154,183,,
2020-03-16,Afternoon Run,Run,4070,4114,5253.28,404.0,454,21,42.883198,108,156,,
2020-03-17,Afternoon VirtualRide,VirtualRide,3901,3901,,,900,67,78.64233,145,164,,
2020-03-18,Afternoon Run,Run,4622,6927,14644.92,484.0,978,79,78.214096,146,185,,
2020-03-20,Lunch VirtualRide,VirtualRide,2754,3338,,,610,46,77.60037,144,170,,
2020-03-20,Afternoon VirtualRide,VirtualRide,3599,3600,37325.05,,796,86,92.8,161,181,222,232
2020-03-21,Afternoon Ride,Ride,4706,4705,43692.9,637.0091,1035,122,96.8,,,230,242
2020-03-22,Afternoon Run,Run,3779,3781,10007.14,493.0,1039,105,100.01323,168,180,,
2020-03-24,Afternoon VirtualRide,VirtualRide,3875,3884,32817.55,691.0,966,125,107.6,0,0,261,269
